experiment,amm_type,steps,seed,total_steps,avg_price_gap,max_price_gap,min_price_gap,avg_volatility,max_volatility,price_stability,initial_k,final_k,k_growth_percent,total_swaps,arb_trades,arb_profit,lp_exited,lp_panic_events,crash_step,crash_magnitude,dump_step,pump_step,volatility_multiplier
baseline,uniswap,500,42,500,5.21903348961089,41.14412289653592,0.009405169218553056,0.01008624956649683,0.01997250677115631,96.92375023697123,20000166.61694897,20194551.716976605,0.9719174032425615,984,381,1302.2731884391396,False,0,,,,,
baseline,uniswap,500,1042,500,4.630006342454095,44.549650059826035,0.011470660031136504,0.010191946188047765,0.0199927585704754,128.84375486096482,20000799.58645042,20201365.79047837,1.0027909292377624,1030,381,-2926.2408086887444,False,0,,,,,
flash_crash,uniswap,500,42,500,4.4172649490097395,41.14412289653592,0.00808545107372538,0.010018870719135233,0.01997296273951583,472.87833545877305,20000166.61694897,20220082.341329746,1.0995694615584473,1002,379,-131.34618443937507,False,0,250.0,-0.5,,,
flash_crash,uniswap,500,1042,500,3.947255772057737,44.549650059826035,0.007682794892161837,0.010191054826595217,0.01994323454686864,464.7376667602309,20000799.58645042,20228171.876673266,1.136816001980634,1073,383,15089.81231228757,False,0,250.0,-0.5,,,
whale_manipulation,uniswap,600,42,600,5.132430630853919,41.14412289653592,0.009390870499146331,0.01001037309384388,0.019996306144202877,143.24658879106013,20000166.61694897,20251955.212888632,1.2589324917237743,1185,456,4208.767122077115,False,0,,,200.0,400.0,
whale_manipulation,uniswap,600,1042,600,4.6238535194405355,44.549650059826035,0.011470660031136504,0.010150820288428456,0.0199927585704754,122.98959017497963,20000799.58645042,20263810.24334515,1.315000711636083,1243,460,-1045.5717331208289,False,0,,,200.0,400.0,
high_volatility,uniswap,500,42,500,6.788589863376076,66.22021138781201,0.012364410283680627,0.04976986329453052,0.09986253385578156,346.22181516265294,20000819.495406825,5216322.625425534,-73.91945551719287,1117,481,-3205.287306917773,True,1,,,,,5.0
high_volatility,uniswap,500,1042,500,95.69779644801139,282.2923814170058,0.0036118448768434064,0.05049738482949354,0.099963792852377,421.1805887023616,20002010.50196634,5118812.6047033975,-74.40850956357521,913,215,38095.87298714425,True,1,,,,,5.0
baseline,constant_sum,500,42,500,8874.829861957653,60000.211966490955,3.662109250886715,0.009899172517402367,0.01998422987245384,10882.004715909463,200100.0,200101.33994375623,0.0006696370595804524,333,7,-131038.03652577192,False,0,,,,,
baseline,constant_sum,500,1042,500,8233.590306510014,39154.022602458244,3.1518650275575055,0.00999573978643214,0.019940539430701475,7098.454572812402,200100.00403370973,200100.980035192,0.0004877568528849352,193,10,-109142.78627614287,False,0,,,,,
flash_crash,constant_sum,500,42,500,9221.15668704997,60000.211966490955,3.662109250886715,0.009899172517402367,0.01998422987245384,10882.004715909463,200100.0,200101.33994375623,0.0006696370595804524,333,7,-65471.38919698319,False,0,250.0,-0.5,,,
flash_crash,constant_sum,500,1042,500,8545.69732356227,39154.022602458244,3.1518650275575055,0.00999573978643214,0.019940539430701475,7098.454572812402,200100.00403370973,200100.980035192,0.0004877568528849352,193,10,-54527.379239354224,False,0,250.0,-0.5,,,
whale_manipulation,constant_sum,600,42,600,6724.106551868326,60000.211966490955,3.662109250886715,0.010145574462968756,0.019988509125815065,8578.46297615961,200100.0,200101.43322654816,0.0007162551465045297,408,7,-127041.55152793761,False,0,,,200.0,400.0,
whale_manipulation,constant_sum,600,1042,600,8364.309454688411,39154.022602458244,3.1518650275575055,0.009909376076241963,0.019996165078238187,7095.388935087932,200100.00403370973,200101.19492781535,0.0005951494660649814,235,10,-101078.89451238254,False,0,,,200.0,400.0,
high_volatility,constant_sum,500,42,500,3203.7618500974986,41549.94519026436,2.292445476145531,0.04949586258701184,0.09992114936226923,3398.726002197928,200100.0,100051.17563937842,-49.99941247407376,346,20,-15408.638285565714,True,1,,,,,5.0
high_volatility,constant_sum,500,1042,500,11253.03774924231,3624119.366176565,0.0984755308777494,0.049978698932160705,0.09970269715350738,161911.01960939873,200100.01032874302,100050.9507476713,-49.99952744465218,213,29,-8225.013144826167,True,1,,,,,5.0
